rule_id,strategy_document_id,strategy_owner,source_line,section,rule_text,rule_fingerprint_sha1,coverage_requirement,applicability,primary_stage,supporting_stages,active,coverage_status,current_evidence_ids,notes
MD-S001-R0021,MD-S001,authority/strategy/MARKET_DATA_PLATFORM_EOD_BASELINE.md,45,1. Import phase,Command resmi import:,9C6168E4FEE7795B5D5DF810BC4CA92A4D3EF6C2,REFERENCE_ONLY,REFERENCE_ONLY,MD-B01,MD-B19;MD-B21;MD-B21;MD-B22;MD-B22;MD-B22,YES,REFERENCE_ONLY,,
MD-S001-R0022,MD-S001,authority/strategy/MARKET_DATA_PLATFORM_EOD_BASELINE.md,46,1. Import phase,- `market-data:daily`,EFA04BDA9DAB1EC955E8C63F8339105659C150AC,REFERENCE_ONLY,REFERENCE_ONLY,MD-B01,MD-B19;MD-B21;MD-B21;MD-B22;MD-B22;MD-B22,YES,REFERENCE_ONLY,,
MD-S001-R0023,MD-S001,authority/strategy/MARKET_DATA_PLATFORM_EOD_BASELINE.md,47,1. Import phase,- `market-data:backfill`,ACAA741A23D0C3871F5148F488D10956214C40E8,REFERENCE_ONLY,REFERENCE_ONLY,MD-B01,MD-B19;MD-B21;MD-B21;MD-B22;MD-B22;MD-B22,YES,REFERENCE_ONLY,,
MD-S001-R0024,MD-S001,authority/strategy/MARKET_DATA_PLATFORM_EOD_BASELINE.md,50,2. Promote phase,Fungsi resmi promote:,636683004BBCC34959B228C22CC275D6FB98E0A7,REFERENCE_ONLY,REFERENCE_ONLY,MD-B01,MD-B19;MD-B21;MD-B21;MD-B22;MD-B22;MD-B22,YES,REFERENCE_ONLY,,
MD-S001-R0025,MD-S001,authority/strategy/MARKET_DATA_PLATFORM_EOD_BASELINE.md,51,2. Promote phase,- coverage validation,AED3DCFF2764F276CAB21AD8C5DEF4FFEAC5EE7D,REFERENCE_ONLY,REFERENCE_ONLY,MD-B01,MD-B19;MD-B21;MD-B21;MD-B22;MD-B22;MD-B22,YES,REFERENCE_ONLY,,
MD-S001-R0026,MD-S001,authority/strategy/MARKET_DATA_PLATFORM_EOD_BASELINE.md,52,2. Promote phase,- indicators,312B661CA17F3957E9A9A12791F7461D8BEC65CD,REFERENCE_ONLY,REFERENCE_ONLY,MD-B01,MD-B19;MD-B21;MD-B21;MD-B22;MD-B22;MD-B22,YES,REFERENCE_ONLY,,
MD-S001-R0027,MD-S001,authority/strategy/MARKET_DATA_PLATFORM_EOD_BASELINE.md,53,2. Promote phase,- eligibility,651A38F02A4DBB30F3EF966083B2ACFB5E60DE74,REFERENCE_ONLY,REFERENCE_ONLY,MD-B01,MD-B19;MD-B21;MD-B21;MD-B22;MD-B22;MD-B22,YES,REFERENCE_ONLY,,
MD-S001-R0028,MD-S001,authority/strategy/MARKET_DATA_PLATFORM_EOD_BASELINE.md,58,2. Promote phase,Command resmi promote:,ABF0FC29025EF56B741A4E6A0949D352C29C0FA5,REFERENCE_ONLY,REFERENCE_ONLY,MD-B01,MD-B19;MD-B21;MD-B21;MD-B22;MD-B22;MD-B22,YES,REFERENCE_ONLY,,
MD-S001-R0029,MD-S001,authority/strategy/MARKET_DATA_PLATFORM_EOD_BASELINE.md,59,2. Promote phase,- `market-data:promote`,C4CFDEBD8C8F55A9DDACD72788C3B4F0EC52B7A8,REFERENCE_ONLY,REFERENCE_ONLY,MD-B01,MD-B19;MD-B21;MD-B21;MD-B22;MD-B22;MD-B22,YES,REFERENCE_ONLY,,
MD-S001-R0030,MD-S001,authority/strategy/MARKET_DATA_PLATFORM_EOD_BASELINE.md,61,2. Promote phase,Tidak ada alias command promote lain.,685CA38C58E79D31CBCC20B2C9CD25E2552CF540,REFERENCE_ONLY,REFERENCE_ONLY,MD-B01,MD-B19;MD-B21;MD-B21;MD-B22;MD-B22;MD-B22,YES,REFERENCE_ONLY,,
MD-S001-R0031,MD-S001,authority/strategy/MARKET_DATA_PLATFORM_EOD_BASELINE.md,66,Date-driven capability (LOCKED),Kapabilitas domain ini wajib **date-driven**.,89E675BFB17A3FD89F82A356A1F53FE75CF28ED6,REQUIRED,MANDATORY_OR_CONDITIONAL,MD-B01,MD-B19;MD-B21;MD-B21;MD-B22;MD-B22;MD-B22,YES,SATISFIED,E-MD-B01-A002-001,MD-B01-A002; DateDrivenCapabilityAndProviderAbstractionTest::test_the_domain_accepts_an_arbitrary_requested_date
MD-S001-R0032,MD-S001,authority/strategy/MARKET_DATA_PLATFORM_EOD_BASELINE.md,68,Date-driven capability (LOCKED),Artinya sistem harus mampu:,1BFB0FE1AD77E44B882293EB61B3C2C16019CED6,REQUIRED,MANDATORY_OR_CONDITIONAL,MD-B01,MD-B19;MD-B21;MD-B21;MD-B22;MD-B22;MD-B22,YES,NOT_ASSESSED,,
MD-S001-R0033,MD-S001,authority/strategy/MARKET_DATA_PLATFORM_EOD_BASELINE.md,69,Date-driven capability (LOCKED),- menerima **requested trade date** tunggal apa pun,9AE9C891608F3783351E1D3FC074D693758ADE93,REFERENCE_ONLY,REFERENCE_ONLY,MD-B01,MD-B19;MD-B21;MD-B21;MD-B22;MD-B22;MD-B22,YES,REFERENCE_ONLY,,
MD-S001-R0034,MD-S001,authority/strategy/MARKET_DATA_PLATFORM_EOD_BASELINE.md,70,Date-driven capability (LOCKED),- menerima **date range** apa pun untuk trading dates yang valid,4A4838FA70FFE24B3FAC709915B09299F9E9C366,REFERENCE_ONLY,REFERENCE_ONLY,MD-B01,MD-B19;MD-B21;MD-B21;MD-B22;MD-B22;MD-B22,YES,REFERENCE_ONLY,,
MD-S001-R0035,MD-S001,authority/strategy/MARKET_DATA_PLATFORM_EOD_BASELINE.md,71,Date-driven capability (LOCKED),- menjalankan import untuk tanggal historical maupun tanggal terbaru,EF04AE5F4C832F0AED5A6392A84F79548A67A9E0,REFERENCE_ONLY,REFERENCE_ONLY,MD-B01,MD-B19;MD-B21;MD-B21;MD-B22;MD-B22;MD-B22,YES,REFERENCE_ONLY,,
MD-S001-R0036,MD-S001,authority/strategy/MARKET_DATA_PLATFORM_EOD_BASELINE.md,72,Date-driven capability (LOCKED),"- memperlakukan tanggal target sebagai input domain utama, bukan turunan dari default provider",56A163566D176A2E7B9CE4D1A817E06DF19F7AC5,REQUIRED,MANDATORY_OR_CONDITIONAL,MD-B01,MD-B19;MD-B21;MD-B21;MD-B22;MD-B22;MD-B22,YES,SATISFIED,E-MD-B01-A002-001,MD-B01-A002; DateDrivenCapabilityAndProviderAbstractionTest::test_the_acquisition_port_is_provider_neutral_and_date_addressed
MD-S001-R0037,MD-S001,authority/strategy/MARKET_DATA_PLATFORM_EOD_BASELINE.md,74,Date-driven capability (LOCKED),Kontrak ini berlaku untuk seluruh jalur import dan promote.,CF0A0C1E95EC790B3B48B1BFBFC51038FE0A8EDD,REFERENCE_ONLY,REFERENCE_ONLY,MD-B01,MD-B19;MD-B21;MD-B21;MD-B22;MD-B22;MD-B22,YES,REFERENCE_ONLY,,
MD-S001-R0038,MD-S001,authority/strategy/MARKET_DATA_PLATFORM_EOD_BASELINE.md,75,Date-driven capability (LOCKED),Kemampuan domain tidak boleh dibatasi oleh default query provider seperti `range=10d`.,FCC91EAEF735317B92C494C4A1E8E11FBFAC32A0,REQUIRED,MANDATORY_OR_CONDITIONAL,MD-B01,MD-B19;MD-B21;MD-B21;MD-B22;MD-B22;MD-B22,YES,SATISFIED,E-MD-B01-A002-001,MD-B01-A002; DateDrivenCapabilityAndProviderAbstractionTest::test_the_domain_accepts_an_arbitrary_requested_range
MD-S001-R0039,MD-S001,authority/strategy/MARKET_DATA_PLATFORM_EOD_BASELINE.md,81,"Consumer horizon, dataset boundary, dan operating phase","> **Owner: `book/Terminology_and_Scope.md`.** Bagian ini adalah ringkasan orientasi. Definisi, konsekuensi, dan aturan interpretasi lengkap dimiliki dokumen tersebut. Bila keduanya tampak berbeda, Terminology yang berlaku dan README yang harus diperbaiki.",678CCE8A31A7FB11EAD85021D17DC6F1AFA89F68,REQUIRED,MANDATORY_OR_CONDITIONAL,MD-B01,MD-B19;MD-B21;MD-B21;MD-B22;MD-B22;MD-B22,YES,NOT_ASSESSED,,
MD-S001-R0040,MD-S001,authority/strategy/MARKET_DATA_PLATFORM_EOD_BASELINE.md,83,"Consumer horizon, dataset boundary, dan operating phase","**Decision horizon.** Weekly Swing memiliki decision horizon **5 hari perdagangan IDX** dengan rentang tahan praktis **3 sampai 15 hari perdagangan**, selalu dinyatakan dalam hari perdagangan, bukan hari kalender. Horizon ini melahirkan kewajiban terukur — radius kontaminasi, toleransi keterlambatan, dan biaya warm-up — yang angkanya dimiliki kontrak indikator dan operasi.",E2DA132AA9B9EBA4A686E16F310B61CB24ED9E56,REFERENCE_ONLY,REFERENCE_ONLY,MD-B01,MD-B19;MD-B21;MD-B21;MD-B22;MD-B22;MD-B22,YES,REFERENCE_ONLY,,
MD-S001-R0041,MD-S001,authority/strategy/MARKET_DATA_PLATFORM_EOD_BASELINE.md,85,"Consumer horizon, dataset boundary, dan operating phase",**Empat batas waktu yang berbeda dan tidak boleh dicampur:**,37EE1427F19973287CF7A2511E030672C2E0DD56,REQUIRED,MANDATORY_OR_CONDITIONAL,MD-B01,MD-B19;MD-B21;MD-B21;MD-B22;MD-B22;MD-B22,YES,NOT_ASSESSED,,
MD-S001-R0042,MD-S001,authority/strategy/MARKET_DATA_PLATFORM_EOD_BASELINE.md,87,"Consumer horizon, dataset boundary, dan operating phase",| Konsep | Nilai / marker | Artinya |,DB254EC6B5CED801F487E5996B910CC7130ED575,REFERENCE_ONLY,REFERENCE_ONLY,MD-B01,MD-B19;MD-B21;MD-B21;MD-B22;MD-B22;MD-B22,YES,REFERENCE_ONLY,,
MD-S001-R0043,MD-S001,authority/strategy/MARKET_DATA_PLATFORM_EOD_BASELINE.md,89,"Consumer horizon, dataset boundary, dan operating phase","| Intentional dataset start | `2023-01-02` | Baseline awal yang dipilih sengaja, bukan akibat source gagal |",A5E02C65633593EAE95BAD9BEC75E5F0B714FF33,REFERENCE_ONLY,REFERENCE_ONLY,MD-B01,MD-B19;MD-B21;MD-B21;MD-B22;MD-B22;MD-B22,YES,REFERENCE_ONLY,,
MD-S001-R0044,MD-S001,authority/strategy/MARKET_DATA_PLATFORM_EOD_BASELINE.md,90,"Consumer horizon, dataset boundary, dan operating phase","| Archived proof window | `2023-01-02` – `2025-10-31` | Rentang executed evidence lama. **Bukan** dataset end, capability limit, retention limit, atau freshness claim |",3E15A61275B98F5AFD75F1891A1AE1A415DBAF79,REFERENCE_ONLY,REFERENCE_ONLY,MD-B01,MD-B19;MD-B21;MD-B21;MD-B22;MD-B22;MD-B22,YES,REFERENCE_ONLY,,
MD-S001-R0045,MD-S001,authority/strategy/MARKET_DATA_PLATFORM_EOD_BASELINE.md,91,"Consumer horizon, dataset boundary, dan operating phase",| Development data frontier | bergerak | Trade date terakhir yang ter-ingest saat pembangunan. Gap sesudahnya bukan production incident sebelum activation |,5A91A6691A183C04B10BBA5873E7817BD12B9AFB,REFERENCE_ONLY,REFERENCE_ONLY,MD-B01,MD-B19;MD-B21;MD-B21;MD-B22;MD-B22;MD-B22,YES,REFERENCE_ONLY,,
MD-S001-R0046,MD-S001,authority/strategy/MARKET_DATA_PLATFORM_EOD_BASELINE.md,92,"Consumer horizon, dataset boundary, dan operating phase",| Operational activation | `OPERATIONAL_START_DATE` | Batas ketika freshness operasional mulai wajib. Tidak pernah ditetapkan secara implisit oleh backfill atau proof yang pernah jalan |,B8A8EC5C237939683F36E93DD88985E7086C83DE,REQUIRED,MANDATORY_OR_CONDITIONAL,MD-B01,MD-B19;MD-B21;MD-B21;MD-B22;MD-B22;MD-B22,YES,SATISFIED,E-MD-B01-A001-001,MD-B01-A001; ScopeProductAndTimeBoundaryTest::test_no_runtime_path_assigns_the_activation_marker
MD-S001-R0047,MD-S001,authority/strategy/MARKET_DATA_PLATFORM_EOD_BASELINE.md,94,"Consumer horizon, dataset boundary, dan operating phase","Prasyarat operasional sebelum marker activation boleh ditetapkan — marker eksplisit, controlled catch-up, scheduling terbukti, alert dan stale-consumer protection aktif, bukti recovery dari partial failure, dan SLO yang dihitung hanya sejak boundary — dimiliki dan dirinci oleh `book/EOD_SOURCE_OPERATIONAL_RESILIENCE_CONTRACT_LOCKED.md`. Jumlah dan isinya tidak diulang di sini agar tidak menyimpang dari ownernya.",6815866CCD41F0EB2664D8255DF982624CDF7D94,REFERENCE_ONLY,REFERENCE_ONLY,MD-B01,MD-B19;MD-B21;MD-B21;MD-B22;MD-B22;MD-B22,YES,REFERENCE_ONLY,,
MD-S001-R0048,MD-S001,authority/strategy/MARKET_DATA_PLATFORM_EOD_BASELINE.md,100,Data-product terminology,> **Owner: `book/Terminology_and_Scope.md`.** Ringkasan orientasi; definisi penuh dan 15 aturan interpretasi terkunci ada di sana.,EA5BFB8F4AFB4201B0AB45C45E2A04CB15189EB9,REQUIRED,MANDATORY_OR_CONDITIONAL,MD-B01,MD-B19;MD-B21;MD-B21;MD-B22;MD-B22;MD-B22,YES,NOT_ASSESSED,,
MD-S001-R0049,MD-S001,authority/strategy/MARKET_DATA_PLATFORM_EOD_BASELINE.md,102,Data-product terminology,Empat hal yang paling sering dikacaukan menjadi satu:,A298AB53CFEC9460E91CE7829C1D2A12E4316035,REFERENCE_ONLY,REFERENCE_ONLY,MD-B01,MD-B19;MD-B21;MD-B21;MD-B22;MD-B22;MD-B22,YES,REFERENCE_ONLY,,
MD-S001-R0050,MD-S001,authority/strategy/MARKET_DATA_PLATFORM_EOD_BASELINE.md,104,Data-product terminology,| Istilah | Ringkasnya |,3AFA3B2A81204A8FC636284388190FAD856FBB48,REFERENCE_ONLY,REFERENCE_ONLY,MD-B01,MD-B19;MD-B21;MD-B21;MD-B22;MD-B22;MD-B22,YES,REFERENCE_ONLY,,
MD-S001-R0051,MD-S001,authority/strategy/MARKET_DATA_PLATFORM_EOD_BASELINE.md,106,Data-product terminology,"| Raw source observation | Payload provider beserta provenance. Immutable, dan belum menjadi canonical bar |",AF531652D78319FAB60E41D009A2AE7F49C8A97A,REQUIRED,MANDATORY_OR_CONDITIONAL,MD-B01,MD-B19;MD-B21;MD-B21;MD-B22;MD-B22;MD-B22,YES,NOT_ASSESSED,,
MD-S001-R0052,MD-S001,authority/strategy/MARKET_DATA_PLATFORM_EOD_BASELINE.md,107,Data-product terminology,"| `RAW` price product | Canonical EOD OHLCV pada scale yang diobservasi market, tanpa adjustment. **Bukan** sinonim payload provider |",713BACD24DA4D56FEC494935F077AAE665ECFF33,REFERENCE_ONLY,REFERENCE_ONLY,MD-B01,MD-B19;MD-B21;MD-B21;MD-B22;MD-B22;MD-B22,YES,REFERENCE_ONLY,,
MD-S001-R0053,MD-S001,authority/strategy/MARKET_DATA_PLATFORM_EOD_BASELINE.md,108,Data-product terminology,"| `STRUCTURAL_ADJUSTED` | OHLC coherent dengan volume inverse bila semantics mengharuskan, hanya dari corporate action terverifikasi dan berversi. Default target basis untuk profil indikator EOD awal |",520662A829C974C03CF33F943DFF312FAD336055,REQUIRED,MANDATORY_OR_CONDITIONAL,MD-B01,MD-B19;MD-B21;MD-B21;MD-B22;MD-B22;MD-B22,YES,NOT_ASSESSED,,
MD-S001-R0054,MD-S001,authority/strategy/MARKET_DATA_PLATFORM_EOD_BASELINE.md,109,Data-product terminology,| `TOTAL_RETURN` | Produk terpisah untuk performance evaluation. Bukan alias `STRUCTURAL_ADJUSTED` |,AE4D32C698994A4E1F9B1490EC17974572C99EA6,REFERENCE_ONLY,REFERENCE_ONLY,MD-B01,MD-B19;MD-B21;MD-B21;MD-B22;MD-B22;MD-B22,YES,REFERENCE_ONLY,,
MD-S001-R0055,MD-S001,authority/strategy/MARKET_DATA_PLATFORM_EOD_BASELINE.md,111,Data-product terminology,"Provider `adj_close` bukan salah satu dari ketiga price product di atas, tidak boleh menjadi per-row fallback, dan tidak boleh dicampur dengan `close` dalam satu vector. Satu run memakai satu price basis eksplisit dan berversi.",BA033DECDED695EBE32746512632B91DA1699425,REQUIRED,MANDATORY_OR_CONDITIONAL,MD-B01,MD-B19;MD-B21;MD-B21;MD-B22;MD-B22;MD-B22,YES,NOT_ASSESSED,,
MD-S001-R0056,MD-S001,authority/strategy/MARKET_DATA_PLATFORM_EOD_BASELINE.md,113,Data-product terminology,"**Coverage**, **quality**, **liquidity**, **event risk**, dan **data usability** adalah lima dimensi terpisah yang wajib tetap dapat dijelaskan sendiri-sendiri. Threshold tradability, preferensi likuiditas, dan kebijakan menghindari event tertentu milik downstream.",F82483E00B4A500B79E3332C921558EA07A984BE,REQUIRED,MANDATORY_OR_CONDITIONAL,MD-B01,MD-B19;MD-B21;MD-B21;MD-B22;MD-B22;MD-B22,YES,NOT_ASSESSED,,
MD-S001-R0057,MD-S001,authority/strategy/MARKET_DATA_PLATFORM_EOD_BASELINE.md,115,Data-product terminology,"Bila factor material belum terverifikasi, affected range di-quarantine atau eligibility diblokir. Anomaly tidak pernah menjadi izin mengubah history atau membuat adjustment otomatis.",3D2C94BE714E281C590C57EB8F8EB5C1E14A7CB6,REFERENCE_ONLY,REFERENCE_ONLY,MD-B01,MD-B19;MD-B21;MD-B21;MD-B22;MD-B22;MD-B22,YES,REFERENCE_ONLY,,
MD-S001-R0058,MD-S001,authority/strategy/MARKET_DATA_PLATFORM_EOD_BASELINE.md,120,Deterministic platform decisions now locked,Keputusan final lintas dokumen:,D52ABC0FB719F0116EF82875CE2195F04BEE0184,REFERENCE_ONLY,REFERENCE_ONLY,MD-B01,MD-B19;MD-B21;MD-B21;MD-B22;MD-B22;MD-B22,YES,REFERENCE_ONLY,,
MD-S001-R0059,MD-S001,authority/strategy/MARKET_DATA_PLATFORM_EOD_BASELINE.md,121,Deterministic platform decisions now locked,- minimum delivery-coverage prerequisite untuk requested-date readability = **98%**; coverage pass tidak pernah cukup tanpa hard gates lain,D52E4A6E53585424A4C708B51B049A3BA16F70E5,REQUIRED,MANDATORY_OR_CONDITIONAL,MD-B01,MD-B19;MD-B21;MD-B21;MD-B22;MD-B22;MD-B22,YES,NOT_ASSESSED,,
