rule_id,active,strategy_stage,rule_class,coverage_requirement,applicability,strategy_owner,source_heading,source_line,rule_text,rule_fingerprint_sha1,verification_build_stage,implementation_ref,test_ref,evidence_ref,residue_state,coverage_status,proof_or_runtime_verdict,open_finding,notes
WS-S02-CLASS-R040,YES,WS-S02,CORE_BEHAVIOR,REQUIRED,MANDATORY,authority/strategy/WS_CANDIDATE_CLASSIFICATION.md,Candidate-State Semantics,30,"`AVOID` = ticker yang mempunyai **hard disqualifying condition** seperti data unusable untuk candidate path, known non-executable/suspended state, hard liquidity/price/risk exclusion, atau explicit active safety/event rule yang melarang new entry.",E9DC6D33F116508699AB9FDE7608E5EEF7C7AFAE,WS-B03,TBD,TBD,TBD,NOT_ASSESSED,NOT_ASSESSED,N/A,,Added by D-WS-20260819-05 high-trust strategy strengthening.
WS-S02-CLASS-R016,YES,WS-S02,CORE_BEHAVIOR,REQUIRED,MANDATORY,authority/strategy/WS_CANDIDATE_CLASSIFICATION.md,Candidate-State Semantics,32,Tidak ada `PRIMARY` atau `SECONDARY` fallback tier pada canonical strategy.,1F56CC127327BFB12163902CD32E6DE202B417D2,WS-B03,TBD,TBD,TBD,NOT_ASSESSED,NOT_ASSESSED,N/A,,
WS-S02-CLASS-R041,YES,WS-S02,CORE_BEHAVIOR,REQUIRED,MANDATORY,authority/strategy/WS_CANDIDATE_CLASSIFICATION.md,WATCH_ONLY vs AVOID Deterministic Boundary,36,Classification wajib mengikuti severity berikut:,1F3F64DE157D3ECEE85749AF8A11A877059E5213,WS-B03,TBD,TBD,TBD,NOT_ASSESSED,NOT_ASSESSED,N/A,,Added by D-WS-20260819-05 high-trust strategy strengthening.
WS-S02-CLASS-R042,YES,WS-S02,CORE_BEHAVIOR,REQUIRED,MANDATORY,authority/strategy/WS_CANDIDATE_CLASSIFICATION.md,WATCH_ONLY vs AVOID Deterministic Boundary,38,bila ada hard safety/data/executability/disqualifying condition → `AVOID`;,F2246856FE7E9AFFEC2E585BEB27273DD881910A,WS-B03,TBD,TBD,TBD,NOT_ASSESSED,NOT_ASSESSED,N/A,,Added by D-WS-20260819-05 high-trust strategy strengthening.
WS-S02-CLASS-R043,YES,WS-S02,CORE_BEHAVIOR,REQUIRED,MANDATORY,authority/strategy/WS_CANDIDATE_CLASSIFICATION.md,WATCH_ONLY vs AVOID Deterministic Boundary,39,bila tidak ada hard disqualifier tetapi recommendation-quality/setup/feature sufficiency belum lengkap → `WATCH_ONLY`;,0C6A557EDC451D3279A67F6894FAF96D59D62149,WS-B03,TBD,TBD,TBD,NOT_ASSESSED,NOT_ASSESSED,N/A,,Added by D-WS-20260819-05 high-trust strategy strengthening.
WS-S02-CLASS-R044,YES,WS-S02,CORE_BEHAVIOR,REQUIRED,MANDATORY,authority/strategy/WS_CANDIDATE_CLASSIFICATION.md,WATCH_ONLY vs AVOID Deterministic Boundary,40,hanya bila seluruh hard gate dan recommendation-candidacy prerequisites lengkap → `RECOMMENDATION_CANDIDATES`.,4B8F247F36CAB4A9AB598EF52EB31EFAD9B3E04E,WS-B03,TBD,TBD,TBD,NOT_ASSESSED,NOT_ASSESSED,N/A,,Added by D-WS-20260819-05 high-trust strategy strengthening.
WS-S02-CLASS-R045,YES,WS-S02,CORE_BEHAVIOR,REQUIRED,MANDATORY,authority/strategy/WS_CANDIDATE_CLASSIFICATION.md,WATCH_ONLY vs AVOID Deterministic Boundary,42,"`WATCH_ONLY` bukan near-buy tier, fallback queue, atau lower-confidence recommendation. `AVOID` bukan prediction bahwa harga pasti turun. Keduanya adalah deterministic eligibility states untuk run tersebut.",B66738E0EDA511215A15C2E28F2CD4FDBA170ACD,WS-B03,TBD,TBD,TBD,NOT_ASSESSED,NOT_ASSESSED,N/A,,Added by D-WS-20260819-05 high-trust strategy strengthening.
WS-S02-CLASS-R017,YES,WS-S02,CORE_BEHAVIOR,REQUIRED,MANDATORY,authority/strategy/WS_CANDIDATE_CLASSIFICATION.md,Count Rule,46,Tidak ada state yang wajib mempunyai minimum non-zero count.,B2E36774715EF85CE9BE7DD1DCB2AC9DA679BF3E,WS-B03,TBD,TBD,TBD,NOT_ASSESSED,NOT_ASSESSED,N/A,,
WS-S02-CLASS-R018,YES,WS-S02,CORE_BEHAVIOR,REFERENCE_ONLY,MANDATORY,authority/strategy/WS_CANDIDATE_CLASSIFICATION.md,Count Rule,48,Strategy harus menerima kondisi:,7DC0269A3B741F53B2C3D3FA4646270D8FB51413,WS-B03,N/A,N/A,N/A,N/A,REFERENCE_ONLY,N/A,,
WS-S02-CLASS-R019,YES,WS-S02,CORE_BEHAVIOR,REQUIRED,MANDATORY,authority/strategy/WS_CANDIDATE_CLASSIFICATION.md,Count Rule,49,recommendation candidate pool kosong;,7C58F81759ABDE98B3439C16AF33AE086275D87A,WS-B03,TBD,TBD,TBD,NOT_ASSESSED,NOT_ASSESSED,N/A,,
WS-S02-CLASS-R020,YES,WS-S02,CORE_BEHAVIOR,REQUIRED,MANDATORY,authority/strategy/WS_CANDIDATE_CLASSIFICATION.md,Count Rule,50,hanya sedikit recommendation candidates tersedia;,C0B732732ACD226C633C99B101CDB306E20398FE,WS-B03,TBD,TBD,TBD,NOT_ASSESSED,NOT_ASSESSED,N/A,,
WS-S02-CLASS-R021,YES,WS-S02,CORE_BEHAVIOR,REQUIRED,MANDATORY,authority/strategy/WS_CANDIDATE_CLASSIFICATION.md,Count Rule,51,WATCH_ONLY/AVOID mendominasi market;,6B6763624B885FC3A3570643C084C5A2C87BFF96,WS-B03,TBD,TBD,TBD,NOT_ASSESSED,NOT_ASSESSED,N/A,,
WS-S02-CLASS-R022,YES,WS-S02,CORE_BEHAVIOR,REQUIRED,MANDATORY,authority/strategy/WS_CANDIDATE_CLASSIFICATION.md,Count Rule,52,final Top Picks kosong.,059EDD6DA11E0EA7BF3AFDFE96D7DB3DA241FB19,WS-B03,TBD,TBD,TBD,NOT_ASSESSED,NOT_ASSESSED,N/A,,
WS-S02-CLASS-R023,YES,WS-S02,CORE_BEHAVIOR,REQUIRED,MANDATORY,authority/strategy/WS_CANDIDATE_CLASSIFICATION.md,Count Rule,54,"Target count, minimum-count override, quantile quota, atau presentation cap tidak boleh memaksa ticker melewati absolute qualification floor.",8B5EDBEFD126362F37CCAE9CC09C002758F491C8,WS-B03,TBD,TBD,TBD,NOT_ASSESSED,NOT_ASSESSED,N/A,,
WS-S02-CLASS-R024,YES,WS-S02,CORE_BEHAVIOR,REFERENCE_ONLY,CONDITIONAL_ACTIVE,authority/strategy/WS_CANDIDATE_CLASSIFICATION.md,Relative Measures,58,"Quantile/percentile boleh dipakai **di dalam versioned score transform** bila diperlukan, tetapi:",3FCCC4833B3603DA53F3C567C63D9C5B97D7BA67,WS-B03,N/A,N/A,N/A,N/A,REFERENCE_ONLY,N/A,,
WS-S02-CLASS-R025,YES,WS-S02,CORE_BEHAVIOR,REQUIRED,MANDATORY,authority/strategy/WS_CANDIDATE_CLASSIFICATION.md,Relative Measures,59,hanya memakai same-date causal universe;,C8CA2BD63DE81D3B78C060D09F21DAF1D03CDA68,WS-B03,TBD,TBD,TBD,NOT_ASSESSED,NOT_ASSESSED,N/A,,
WS-S02-CLASS-R026,YES,WS-S02,CORE_BEHAVIOR,REQUIRED,MANDATORY,authority/strategy/WS_CANDIDATE_CLASSIFICATION.md,Relative Measures,60,tidak menggantikan absolute eligibility/setup floor;,85849829CA789EA68553D4F29E500A560CB77119,WS-B03,TBD,TBD,TBD,NOT_ASSESSED,NOT_ASSESSED,N/A,,
WS-S02-CLASS-R027,YES,WS-S02,CORE_BEHAVIOR,REQUIRED,MANDATORY,authority/strategy/WS_CANDIDATE_CLASSIFICATION.md,Relative Measures,61,tidak menentukan jumlah Top Picks;,34DC6CD99609A8A382D1EC844AF2BAB6C8974B2C,WS-B03,TBD,TBD,TBD,NOT_ASSESSED,NOT_ASSESSED,N/A,,
WS-S02-CLASS-R028,YES,WS-S02,CORE_BEHAVIOR,REQUIRED,MANDATORY,authority/strategy/WS_CANDIDATE_CLASSIFICATION.md,Relative Measures,62,deterministic pada replay.,4C3A3D20DD0A9BB51D76DB80CD543B7E09328AB0,WS-B03,TBD,TBD,TBD,NOT_ASSESSED,NOT_ASSESSED,N/A,,
WS-S02-CLASS-R029,YES,WS-S02,CORE_BEHAVIOR,REQUIRED,MANDATORY,authority/strategy/WS_CANDIDATE_CLASSIFICATION.md,Relationship to PLAN and Recommendation,66,`RECOMMENDATION_CANDIDATES` menentukan ticker yang boleh menerima canonical PLAN score dan menjadi source universe final recommendation.,7840F10E12D4B6252792747993D4028A4BF26AF9,WS-B03,TBD,TBD,TBD,NOT_ASSESSED,NOT_ASSESSED,N/A,,
WS-S02-CLASS-R030,YES,WS-S02,CORE_BEHAVIOR,REQUIRED,MANDATORY,authority/strategy/WS_CANDIDATE_CLASSIFICATION.md,Relationship to PLAN and Recommendation,68,`WATCH_ONLY` dan `AVOID` tidak menerima jalur scoring untuk memperebutkan final Top Picks pada run yang sama.,E0590B326C21E3D259AA3FD81498E1121CEAE3AD,WS-B03,TBD,TBD,TBD,NOT_ASSESSED,NOT_ASSESSED,N/A,,
WS-S02-CLASS-R031,YES,WS-S02,CORE_BEHAVIOR,REQUIRED,MANDATORY,authority/strategy/WS_CANDIDATE_CLASSIFICATION.md,Relationship to PLAN and Recommendation,70,Final Top Picks tetap membutuhkan seluruh final recommendation gates dan absolute recommendation quality floor.,DC1C911B8F5032049CA9F54C700CBF94E9FEC5EA,WS-B03,TBD,TBD,TBD,NOT_ASSESSED,NOT_ASSESSED,N/A,,
WS-S02-CLASS-R032,YES,WS-S02,CORE_BEHAVIOR,REQUIRED,MANDATORY,authority/strategy/WS_CANDIDATE_CLASSIFICATION.md,Final Rules,74,Candidate-state classification terjadi setelah absolute eligibility dan sebelum PLAN scoring.,FDFF19CFF89780F12C39E2D378CB8553050F664C,WS-B03,TBD,TBD,TBD,NOT_ASSESSED,NOT_ASSESSED,N/A,,
WS-S02-CLASS-R033,YES,WS-S02,CORE_BEHAVIOR,REQUIRED,MANDATORY,authority/strategy/WS_CANDIDATE_CLASSIFICATION.md,Final Rules,75,"PLAN classification adalah candidate state, bukan final recommendation.",4F8897DE0AB4BA6FCECBA7A91E148CC460469A9A,WS-B03,TBD,TBD,TBD,NOT_ASSESSED,NOT_ASSESSED,N/A,,
WS-S02-CLASS-R034,YES,WS-S02,CORE_BEHAVIOR,REQUIRED,MANDATORY,authority/strategy/WS_CANDIDATE_CLASSIFICATION.md,Final Rules,76,Hanya `RECOMMENDATION_CANDIDATES` masuk canonical scoring/recommendation path.,E1E467D74CE66FDDD17533171D88AFD8E1B8ED69,WS-B03,TBD,TBD,TBD,NOT_ASSESSED,NOT_ASSESSED,N/A,,
WS-S02-CLASS-R035,YES,WS-S02,CORE_BEHAVIOR,REQUIRED,MANDATORY,authority/strategy/WS_CANDIDATE_CLASSIFICATION.md,Final Rules,77,Tidak ada forced minimum candidate count.,2B0B5BE974A56B55DF021494776B5B034544E9F2,WS-B03,TBD,TBD,TBD,NOT_ASSESSED,NOT_ASSESSED,N/A,,
WS-S02-CLASS-R036,YES,WS-S02,CORE_BEHAVIOR,REQUIRED,MANDATORY,authority/strategy/WS_CANDIDATE_CLASSIFICATION.md,Final Rules,78,Tidak ada PRIMARY/SECONDARY fallback path.,39E0A44BF51F66B267E7E5D3BDBB9645508E9B7B,WS-B03,TBD,TBD,TBD,NOT_ASSESSED,NOT_ASSESSED,N/A,,
WS-S02-CLASS-R037,YES,WS-S02,CORE_BEHAVIOR,REQUIRED,MANDATORY,authority/strategy/WS_CANDIDATE_CLASSIFICATION.md,Final Rules,79,Relative measures tidak boleh menggantikan absolute quality floor.,7E60B0B7F297ED94D579D4BA144384DF03A59887,WS-B03,TBD,TBD,TBD,NOT_ASSESSED,NOT_ASSESSED,N/A,,
WS-S02-CLASS-R038,YES,WS-S02,CORE_BEHAVIOR,REQUIRED,MANDATORY,authority/strategy/WS_CANDIDATE_CLASSIFICATION.md,Final Rules,80,Final Top Picks count boleh nol atau sebanyak candidate yang benar-benar lulus final qualification.,1266C30A191B0EEE9AADED162C02D2FF8D80A2B1,WS-B03,TBD,TBD,TBD,NOT_ASSESSED,NOT_ASSESSED,N/A,,
WS-S02-ELIG-R001,YES,WS-S02,CORE_BEHAVIOR,REFERENCE_ONLY,MANDATORY,authority/strategy/WS_CANDIDATE_ELIGIBILITY_AND_SETUP.md,Purpose,5,"Dokumen ini menetapkan kualitas minimum sebuah saham agar boleh masuk **Weekly Swing recommendation-candidate pool**. Tujuannya bukan memperbanyak kandidat, tetapi memastikan hanya saham dengan data, likuiditas, setup, dan risk profile yang layak yang dapat diteruskan ke final Top Picks qualification.",472E4F089792036918018011C09076F3DD0A09D3,WS-B03,N/A,N/A,N/A,N/A,REFERENCE_ONLY,N/A,,
WS-S02-ELIG-R002,YES,WS-S02,CORE_BEHAVIOR,REFERENCE_ONLY,MANDATORY,authority/strategy/WS_CANDIDATE_ELIGIBILITY_AND_SETUP.md,Lifecycle Position,9,**Stages:** `WS-S01` trusted data readiness and `WS-S02` absolute eligibility.,982E6A94734914E50DE8A894AC512241647016AF,WS-B03,N/A,N/A,N/A,N/A,REFERENCE_ONLY,N/A,,
WS-S02-ELIG-R003,YES,WS-S02,CORE_BEHAVIOR,REFERENCE_ONLY,MANDATORY,authority/strategy/WS_CANDIDATE_ELIGIBILITY_AND_SETUP.md,Lifecycle Position,10,**Consumes:** authoritative same-date point-in-time Market Data.,8A982B04F0CE3D91AC4EDED1E910201D4C81346E,WS-B03,N/A,N/A,N/A,N/A,REFERENCE_ONLY,N/A,,
WS-S02-ELIG-R004,YES,WS-S02,CORE_BEHAVIOR,REFERENCE_ONLY,MANDATORY,authority/strategy/WS_CANDIDATE_ELIGIBILITY_AND_SETUP.md,Lifecycle Position,11,**Produces:** eligibility facts required for deterministic candidate-state assignment.,BCB35B1D012120E9366BF805264C527578A83CC5,WS-B03,N/A,N/A,N/A,N/A,REFERENCE_ONLY,N/A,,
WS-S02-ELIG-R005,YES,WS-S02,CORE_BEHAVIOR,REFERENCE_ONLY,MANDATORY,authority/strategy/WS_CANDIDATE_ELIGIBILITY_AND_SETUP.md,Lifecycle Position,12,**Next:** complete `WS-S02` deterministic candidate-state assignment.,91496F536B923B930322E1D30FCC5700C0921B32,WS-B03,N/A,N/A,N/A,N/A,REFERENCE_ONLY,N/A,,
WS-S01-ELIG-R001,YES,WS-S01,CORE_BEHAVIOR,REQUIRED,MANDATORY,authority/strategy/WS_CANDIDATE_ELIGIBILITY_AND_SETUP.md,A. Authoritative Market Data Requirement,16,"Seluruh intake mengikuti `WS_MARKET_DATA_INPUT_REQUIREMENTS.md`. Untuk new current PLAN, Market Data read product harus `READABLE`, `FRESH`, publication-coherent, dan `effective_trade_date` harus sama dengan requested `asof_eod_date`.",B99F92AC997D3645A9A3C9F25FC7B8E95F73B446,WS-B01,TBD,TBD,TBD,NOT_ASSESSED,NOT_ASSESSED,N/A,,
WS-S01-ELIG-R002,YES,WS-S01,CORE_BEHAVIOR,REFERENCE_ONLY,MANDATORY,authority/strategy/WS_CANDIDATE_ELIGIBILITY_AND_SETUP.md,A. Authoritative Market Data Requirement,18,"Per ticker, `data_usable=true` adalah prerequisite upstream, bukan strategy approval. Candidate harus fail-closed dari recommendation-candidate pool bila:",5155D29AE853C98CEB196C041AE84F8F7D09DEC0,WS-B01,N/A,N/A,N/A,N/A,REFERENCE_ONLY,N/A,,
WS-S01-ELIG-R003,YES,WS-S01,CORE_BEHAVIOR,REQUIRED,MANDATORY,authority/strategy/WS_CANDIDATE_ELIGIBILITY_AND_SETUP.md,A. Authoritative Market Data Requirement,19,producer-facing read product/run-level binding tidak sah untuk current PLAN;,B3ABCD5FD13C070FA54C20BD566608EEBAD1D7C8,WS-B01,TBD,TBD,TBD,NOT_ASSESSED,NOT_ASSESSED,N/A,,
WS-S01-ELIG-R004,YES,WS-S01,CORE_BEHAVIOR,REQUIRED,MANDATORY,authority/strategy/WS_CANDIDATE_ELIGIBILITY_AND_SETUP.md,A. Authoritative Market Data Requirement,20,`data_usable=false`;,B3E309220F6B033FA880B5B2ADE35DCA3041018D,WS-B01,TBD,TBD,TBD,NOT_ASSESSED,NOT_ASSESSED,N/A,,
WS-S01-ELIG-R005,YES,WS-S01,CORE_BEHAVIOR,REQUIRED,MANDATORY,authority/strategy/WS_CANDIDATE_ELIGIBILITY_AND_SETUP.md,A. Authoritative Market Data Requirement,21,"field yang dipakai active hard gate, active score component, atau trade-plan derivation hilang/invalid;",CC6A8CED5F81529E3F06821C066D2763F34AE4D1,WS-B01,TBD,TBD,TBD,NOT_ASSESSED,NOT_ASSESSED,N/A,,
WS-S01-ELIG-R006,YES,WS-S01,CORE_BEHAVIOR,REQUIRED,MANDATORY,authority/strategy/WS_CANDIDATE_ELIGIBILITY_AND_SETUP.md,A. Authoritative Market Data Requirement,22,temporal market facts yang diketahui menunjukkan normal Regular-Market entry tidak dapat dilakukan; atau,0E5E4D2977BF063BE6C232936D1DDD31E6FF11A3,WS-B01,TBD,TBD,TBD,NOT_ASSESSED,NOT_ASSESSED,N/A,,
WS-S01-ELIG-R007,YES,WS-S01,CORE_BEHAVIOR,REQUIRED,MANDATORY,authority/strategy/WS_CANDIDATE_ELIGIBILITY_AND_SETUP.md,A. Authoritative Market Data Requirement,23,active Weekly Swing rule secara eksplisit memetakan factual status/event context menjadi disqualifying state.,A9C66FCBE68E46C7E165719302FB407247EF7E9B,WS-B01,TBD,TBD,TBD,NOT_ASSESSED,NOT_ASSESSED,N/A,,
WS-S01-ELIG-R008,YES,WS-S01,CORE_BEHAVIOR,REQUIRED,MANDATORY,authority/strategy/WS_CANDIDATE_ELIGIBILITY_AND_SETUP.md,A. Authoritative Market Data Requirement,25,Known `is_suspended=true` atau status lain yang secara faktual mencegah normal Regular-Market entry harus berakhir `AVOID`. UMA/event-risk/corporate-action flags yang tidak dengan sendirinya memblokir Market Data usability tetap merupakan fakta; efeknya pada WATCH_ONLY/AVOID hanya boleh datang dari active Weekly Swing rule.,1CFA33B2969F93FFCE98142F5FF08E1CA0E075C2,WS-B01,TBD,TBD,TBD,NOT_ASSESSED,NOT_ASSESSED,N/A,,
WS-S01-ELIG-R009,YES,WS-S01,CORE_BEHAVIOR,REQUIRED,MANDATORY,authority/strategy/WS_CANDIDATE_ELIGIBILITY_AND_SETUP.md,A. Authoritative Market Data Requirement,27,"Watchlist tidak boleh menebak, zero-fill, mengisi synthetic value, menghitung ulang indikator/adjustment/status/sector, atau membaca producer internals untuk menyelamatkan candidate.",400DA2BBB08CF925589CAAE4B666038DE947C23C,WS-B01,TBD,TBD,TBD,NOT_ASSESSED,NOT_ASSESSED,N/A,,
WS-S02-ELIG-R006,YES,WS-S02,CORE_BEHAVIOR,REQUIRED,MANDATORY,authority/strategy/WS_CANDIDATE_ELIGIBILITY_AND_SETUP.md,B. Weekly Swing Eligibility Dimensions,31,Recommendation-candidate harus melewati seluruh active hard gate pada dimensi berikut.,380DBD91AAB79FE4DB64279B511E0588B2261C9B,WS-B03,TBD,TBD,TBD,NOT_ASSESSED,NOT_ASSESSED,N/A,,
WS-S02-ELIG-R007,YES,WS-S02,CORE_BEHAVIOR,REQUIRED,MANDATORY,authority/strategy/WS_CANDIDATE_ELIGIBILITY_AND_SETUP.md,1. Liquidity / Executability,35,Candidate harus mempunyai likuiditas yang memadai agar next-open entry dan exit Weekly Swing realistis untuk dieksekusi.,BCA646D3FADAB9671F7B6DD0270A6D3740DD58AA,WS-B03,TBD,TBD,TBD,NOT_ASSESSED,NOT_ASSESSED,N/A,,
WS-S02-ELIG-R008,YES,WS-S02,CORE_BEHAVIOR,REQUIRED,MANDATORY,authority/strategy/WS_CANDIDATE_ELIGIBILITY_AND_SETUP.md,1. Liquidity / Executability,37,Canonical bootstrap liquidity measure adalah Market Data `adv20_close_volume_proxy_idr`. Legacy `dv20_idr` hanya boleh dibaca sebagai compatibility alias untuk proxy yang sama dan tidak boleh disebut actual turnover. Beralih ke `adv20_traded_value_idr_actual` sebagai selection metric adalah strategy/proof identity baru. Absolute floor diterapkan sebelum relative ranking.,D387BFE35A801795C49BB901A0625C1730B246D6,WS-B03,TBD,TBD,TBD,NOT_ASSESSED,NOT_ASSESSED,N/A,,
WS-S02-ELIG-R049,YES,WS-S02,CORE_BEHAVIOR,REQUIRED,MANDATORY,authority/strategy/WS_CANDIDATE_ELIGIBILITY_AND_SETUP.md,1A. Product Capacity / Reference Notional,41,"Selain absolute liquidity floor, active strategy identity harus membekukan **product-level execution capacity parameters** sebelum outcome dibaca:",7A10B1160819387595828CE26D07B457E8B9D990,WS-B03,TBD,TBD,TBD,NOT_ASSESSED,NOT_ASSESSED,N/A,,Added by D-WS-20260819-05 high-trust strategy strengthening.
WS-S02-ELIG-R050,YES,WS-S02,CORE_BEHAVIOR,REQUIRED,MANDATORY,authority/strategy/WS_CANDIDATE_ELIGIBILITY_AND_SETUP.md,1A. Product Capacity / Reference Notional,43,`reference_order_notional_idr` — standardized proof notional per Top Pick;,AA89885E9EBAD2BB7E7604E6E92242ABAA01E136,WS-B03,TBD,TBD,TBD,NOT_ASSESSED,NOT_ASSESSED,N/A,,Added by D-WS-20260819-05 high-trust strategy strengthening.
